"","","Male","","","Female","",""
"Major","Total","Total Male Employment","Employed","Unemployed","Total Female Employment","Employed","Unemployed"
"Nutrition Sciences","127046","17344","16766","578","109702","106272","3430"
"Mathematics And Computer Science","19744","13727","13422","305","6017","5987","30"
"Cognitive Science And Biopsychology","24904","10250","9681","569","14654","14110","544"
"Interdisciplinary Social Sciences","101455","31006","29970","1036","70449","67709","2740"
"Physical Fitness Parks Recreation And Leisure","770017","425480","410256","15224","344537","333377","11160"
"Philosophy And Religious Studies","387466","271733","262759","8974","115733","111657","4076"
"Theology And Religious Vocations","345128","258812","253246","5566","86316","83683","2633"
"Physical Sciences","11172","8193","7788","405","2979","2860","119"
"Astronomy And Astrophysics","12603","8271","7887","384","4332","4194","138"
"Atmospheric Sciences And Meteorology","29122","21061","20378","683","8061","7830","231"
"Chemistry","616817","378723","368421","10302","238094","230731","7363"
"Geology And Earth Science","175068","121215","117198","4017","53853","51640","2213"
"Geosciences","20548","14153","13826","327","6395","6172","223"
"Oceanography","19010","10114","9866","248","8896","8708","188"
"Physics","311694","255007","247389","7618","56687","53943","2744"
"Materials Science","34671","25275","24782","493","9396","9139","257"
"Multi-Disciplinary Or General Science","506800","262875","255660","7215","243925","236835","7090"
"Nuclear, Industrial Radiology, And Biological Technologies","16215","6363","6288","75","9852","9638","214"
"Psychology","2785616","807804","775627","32177","1977812","1912387","65425"
"Educational Psychology","24518","4458","4343","115","20060","19536","524"
"Clinical Psychology","27162","8178","7841","337","18984","17837","1147"
"Counseling Psychology","67456","15816","15342","474","51640","50397","1243"
"Industrial And Organizational Psychology","28146","10135","9670","465","18011","17165","846"
"Social Psychology","10619","3526","3307","219","7093","6766","327"
"Miscellaneous Psychology","68313","16751","16254","497","51562","48741","2821"
"Criminal Justice And Fire Protection","1216893","718819","700064","18755","498074","480874","17200"
"Public Administration","88979","48351","47057","1294","40628","39392","1236"
"Public Policy","47400","22699","21983","716","24701","23933","768"
"Human Services And Community Organization","123786","22805","21937","868","100981","97440","3541"
"Social Work","585177","82292","79998","2294","502885","489424","13461"
"General Social Sciences","141001","60794","58496","2298","80207","77202","3005"
"Economics","1216421","843984","813765","30219","372437","358982","13455"
"Anthropology And Archeology","261229","92507","88850","3657","168722","161357","7365"
"Criminology","126507","67412","65512","1900","59095","57328","1767"
"Geography","163966","110607","108004","2603","53359","51550","1809"
"International Relations","178514","76158","73069","3089","102356","98772","3584"
"Political Science And Government","1381210","834254","803100","31154","546956","526794","20162"
"Sociology","832893","280089","270278","9811","552804","533677","19127"
"Miscellaneous Social Sciences","30466","14075","13663","412","16391","15987","404"
"Construction Services","134001","121826","119221","2605","12175","11659","516"
"Electrical, Mechanical, And Precision Technologies And Production","22502","20431","19846","585","2071","2021","50"
"Transportation Sciences And Technologies","162365","145631","141801","3830","16734","16277","457"
"Fine Arts","621392","250459","237473","12986","370933","353138","17795"
"Drama And Theater Arts","272226","112696","103848","8848","159530","149680","9850"
"Music","461201","252398","240619","11779","208803","201513","7290"
"Visual And Performing Arts","88069","22579","21160","1419","65490","62282","3208"
"Commercial Art And Graphic Design","645173","237570","226390","11180","407603","387950","19653"
"Film Video And Photographic Arts","208279","124871","115191","9680","83408","77640","5768"
"Art History And Criticism","131561","22975","22007","968","108586","103891","4695"
"Studio Arts","113178","39094","37239","1855","74084","70520","3564"
"Miscellaneous Fine Arts","27764","15154","14066","1088","12610","11975","635"
"General Medical And Health Services","265413","81432","78070","3362","183981","178570","5411"
"Communication Disorders Sciences And Services","258311","16963","16574","389","241348","236167","5181"
"Health And Medical Administrative Services","245679","60238","57594","2644","185441","179838","5603"
"Medical Assisting Services","82451","10227","10045","182","72224","70785","1439"
"Medical Technologies Technicians","187956","54037","52962","1075","133919","131299","2620"
"Health And Medical Preparatory Programs","103796","57750","56146","1604","46046","44685","1361"
