"","Male","","Female",""
"Major","Employed","Unemployed","Employed","Unemployed"
"Sociology","83777","25711","56016","15512"
"Miscellaneous Social Sciences","103234","48009","69619","38498"
"Construction Services","87783","37750","56717","14733"
"Electrical, Mechanical, And Precision Technologies And Production","64859","28455","81262","10147"
"Transportation Sciences And Technologies","97488","36140","66155","24370"
"Fine Arts","67170","21270","49304","17990"
"Drama And Theater Arts","65224","28507","46709","23625"
"Music","64549","26483","47137","17392"
"Visual And Performing Arts","66157","18125","43766","19896"
"Commercial Art And Graphic Design","67537","17799","48876","16806"
"Film Video And Photographic Arts","65922","22449","45232","19730"
"Art History And Criticism","94237","25352","63273","23031"
"Studio Arts","58132","16487","42148","15134"
"Miscellaneous Fine Arts","51658","26850","43697","23671"
"General Medical And Health Services","83201","16438","54892","19741"
"Communication Disorders Sciences And Services","96315","15789","61122","25818"
"Health And Medical Administrative Services","97889","38771","58038","16167"
"Medical Assisting Services","103702","20336","55471","17894"
"Medical Technologies Technicians","93366","18410","63531","15105"
"Health And Medical Preparatory Programs","194883","43278","100467","13681"
"Nursing","93471","21559","69320","22154"
"Pharmacy Pharmaceutical Sciences And Administration","134097","28019","92478","24534"
"Treatment Therapy Professions","87972","21096","61735","15419"
"Community And Public Health","81768","16452","51444","15375"
"Miscellaneous Health Medical Professions","79973","17539","53173","9191"
"General Business","103729","29907","64487","20880"
"Accounting","115399","33512","70654","20327"
"Actuarial Science","132303","14627","93238","91982"
"Business Management And Administration","96189","33044","61473","21075"
"Operations Logistics And E-Commerce","85966","22995","68025","17874"
"Business Economics","118627","36964","76147","22873"
"Marketing And Marketing Research","98908","30523","61075","19827"
"Finance","120580","33578","77230","20749"
"Human Resources And Personnel Management","97708","37817","62331","18914"
"International Business","91306","29521","64009","16234"
"Hospitality Management","73862","26346","48133","11938"
"Management Information Systems And Statistics","98767","35149","74819","24903"
"Miscellaneous Business and Medical Administration","96560","21230","57076","19566"
"History","102115","29650","65100","19986"
"United States History","105906","28147","75435","20679"
